Title,Artist,Featuring,Featured_Artist
The Edge of Glory,Lady Gaga,0,Lady Gaga
We R Who We R,Kesha,0,Kesha
Black and Yellow,Wiz Khalifa,0,Wiz Khalifa
Tonight Tonight,Hot Chelle Rae,0,Hot Chelle Rae
Blow,Kesha,0,Kesha
Lighters,Bad Meets Evil ,1, Bruno Mars
Stereo Hearts,Gym Class Heroes ,1, Adam Levine
The Time (Dirty Bit),The Black Eyed Peas,0,The Black Eyed Peas
Coming Home,Diddy – Dirty Money ,1, Skylar Grey
Hey Baby (Drop It to the Floor),Pitbull ,1, T-Pain
6 Foot 7 Foot,Lil Wayne ,1, Cory Gunz
Just a Kiss,Lady A,0,Lady A
Dirt Road Anthem,Jason Aldean,0,Jason Aldean
No Hands,Waka Flocka Flame ,1, Wale and Roscoe Dash
I Wanna Go,Britney Spears,0,Britney Spears
I'm on One,DJ Khaled ,1," Drake, Rick Ross and Lil Wayne"
You Make Me Feel...,Cobra Starship ,1, Sabi
Yeah 3x,Chris Brown,0,Chris Brown
Moment 4 Life,Nicki Minaj ,1, Drake
I Need a Doctor,Dr. Dre ,1, Eminem and Skylar Grey
Motivation,Kelly Rowland ,1, Lil Wayne
Stereo Love,Edward Maya ,1, Vika Jigulina
Jar of Hearts,Christina Perri,0,Christina Perri
Roll Up,Wiz Khalifa,0,Wiz Khalifa
Sexy and I Know It,LMFAO,0,LMFAO
Rocketeer,Far East Movement ,1, Ryan Tedder
All of the Lights,Kanye West ,1, Rihanna
Hold It Against Me,Britney Spears,0,Britney Spears
More,Usher,0,Usher
What the Hell,Avril Lavigne,0,Avril Lavigne
Written in the Stars,Tinie Tempah ,1, Eric Turner
For the First Time,The Script,0,The Script
Honey Bee,Blake Shelton,0,Blake Shelton
Don't You Wanna Stay,Jason Aldean ,1, Kelly Clarkson
We Found Love,Rihanna ,1, Calvin Harris
Pretty Girl Rock,Keri Hilson,0,Keri Hilson
Yoü and I,Lady Gaga,0,Lady Gaga
Without You,David Guetta ,1, Usher
Back to December,Taylor Swift,0,Taylor Swift
Crazy Girl,Eli Young Band,0,Eli Young Band
Cheers (Drink to That),Rihanna,0,Rihanna
Who Says,Selena Gomez & the Scene,0,Selena Gomez & the Scene
Barefoot Blue Jean Night,Jake Owen,0,Jake Owen
Knee Deep,Zac Brown Band ,1, Jimmy Buffett
Country Girl (Shake It for Me),Luke Bryan,0,Luke Bryan
Remind Me,Brad Paisley and Carrie Underwood,0,Brad Paisley and Carrie Underwood
In the Dark,Dev,0,Dev
Backseat,New Boyz ,1, The Cataracs and Dev
Headlines,Drake,0,Drake
Best Thing I Never Had,Beyoncé,0,Beyoncé
Don't Wanna Go Home,Jason Derulo,0,Jason Derulo
Where Them Girls At,David Guetta ,1, Flo Rida and Nicki Minaj
She Ain't You,Chris Brown,0,Chris Brown
Take a Back Road,Rodney Atkins,0,Rodney Atkins
Please Don't Go,Mike Posner,0,Mike Posner
Sure Thing,Miguel,0,Miguel
Price Tag,Jessie J ,1, B.o.B
God Gave Me You,Blake Shelton,0,Blake Shelton
She Will,Lil Wayne ,1, Drake
Are You Gonna Kiss Me or Not,Thompson Square,0,Thompson Square
You and Tequila,Kenny Chesney ,1, Grace Potter
Colder Weather,Zac Brown Band,0,Zac Brown Band
My Last,Big Sean ,1, Chris Brown
Somebody That I Used to Know,Gotye ,1, Kimbra
Call Me Maybe,Carly Rae Jepsen,0,Carly Rae Jepsen
We Are Young,Fun ,1, Janelle Monáe
Payphone,Maroon 5 ,1, Wiz Khalifa
Lights,Ellie Goulding,0,Ellie Goulding
Glad You Came,The Wanted,0,The Wanted
Stronger (What Doesn't Kill You),Kelly Clarkson,0,Kelly Clarkson
Starships,Nicki Minaj,0,Nicki Minaj
What Makes You Beautiful,One Direction,0,One Direction
Wild Ones,Flo Rida ,1, Sia
Set Fire to the Rain,Adele,0,Adele
Some Nights,Fun,0,Fun
Wide Awake,Katy Perry,0,Katy Perry
Good Feeling,Flo Rida,0,Flo Rida
Whistle,Flo Rida,0,Flo Rida
One More Night,Maroon 5,0,Maroon 5
Drive By,Train,0,Train
The Motto,Drake ,1, Lil Wayne
Where Have You Been,Rihanna,0,Rihanna
Everybody Talks,Neon Trees,0,Neon Trees
Take Care,Drake ,1, Rihanna
Titanium,David Guetta ,1, Sia
I Won't Give Up,Jason Mraz,0,Jason Mraz
It Will Rain,Bruno Mars,0,Bruno Mars
Mercy,"Kanye West, Big Sean, Pusha T and 2 Chainz",0,"Kanye West, Big Sean, Pusha T and 2 Chainz"
Boyfriend,Justin Bieber,0,Justin Bieber
Too Close,Alex Clare,0,Alex Clare
Part of Me,Katy Perry,0,Katy Perry
"Young, Wild & Free",Snoop Dogg and Wiz Khalifa ,1, Bruno Mars
We Are Never Ever Getting Back Together,Taylor Swift,0,Taylor Swift
As Long as You Love Me,Justin Bieber ,1, Big Sean
Turn Me On,David Guetta ,1, Nicki Minaj
Blow Me (One Last Kiss),Pink,0,Pink
Good Time,Owl City and Carly Rae Jepsen,0,Owl City and Carly Rae Jepsen
Give Your Heart a Break,Demi Lovato,0,Demi Lovato
Niggas in Paris,Jay-Z and Kanye West,0,Jay-Z and Kanye West
The One That Got Away,Katy Perry,0,Katy Perry
Feel So Close,Calvin Harris,0,Calvin Harris
Someone like You,Adele,0,Adele
Scream,Usher,0,Usher
Rack City,Tyga,0,Tyga
Domino,Jessie J,0,Jessie J
Gangnam Style,Psy,0,Psy
International Love,Pitbull ,1, Chris Brown
Home,Phillip Phillips,0,Phillip Phillips
Ass Back Home,Gym Class Heroes ,1, Neon Hitch
Wanted,Hunter Hayes,0,Hunter Hayes
Drunk on You,Luke Bryan,0,Luke Bryan
No Lie,2 Chainz ,1, Drake
Want U Back,Cher Lloyd,0,Cher Lloyd
